title_length,tag_count,has_tags,like_ratio,comment_density,like_per_view,dislike_per_view,publish_hour,category_code,views
34,1,1,0.9509695335078489,0.021318217896114534,0.07686931934999253,0.003963259012152169,17,7,748374
62,4,1,0.9405212374853121,0.005251814652222825,0.04017929677842047,0.00254094724494698,7,9,2418783
53,23,1,0.9647292761564406,0.0025634244668617198,0.045757800411834436,0.0016729156861721942,19,8,3191434
32,27,1,0.9385495470210836,0.006253496829358988,0.029641458410176895,0.0019407403953183063,11,9,343168
24,14,1,0.9851814875890168,0.008358897205756088,0.063097315447149,0.0009490721853093308,18,9,2095731
21,7,1,0.9502627983742818,0.012032220170160075,0.0819181070580703,0.004287632152686052,19,13,119180
41,42,1,0.8673934261485012,0.0009365713027852462,0.007603342561139311,0.001162394332644633,5,9,2103417
35,13,1,0.9681682414925051,0.0041969740696927976,0.028937353558024667,0.0009514119540270968,21,13,817732
65,28,1,0.9675040934803274,0.0004115928765328918,0.0042890398869295165,0.00014405750678651215,14,0,826059
53,20,1,0.9027609325085533,0.009234632993174069,0.04934757005727393,0.005315373635851459,13,10,256426
86,49,1,0.9632352799524224,0.0021750617493671355,0.008048957321104371,0.00030721211149253326,2,4,81377
78,40,1,0.8387440083089728,0.012230105757211831,0.015070091222334516,0.002897358908862537,3,9,104578
42,23,1,0.9884609723783155,0.012174547908290582,0.1660718285213099,0.001938677859485288,17,2,687582
38,25,1,0.8701629882801165,0.007307671127130575,0.014406079629671126,0.002149530994692264,14,10,544770
24,14,1,0.9681305856093658,0.010215292099039411,0.036008904649113924,0.0011853593662092903,18,3,207532
16,5,1,0.9945095544351077,0.016237195055412768,0.12433995140401045,0.0006864505226678568,20,13,75752
48,32,1,0.9262342456628117,0.004248424598775925,0.027097236831842304,0.0021580373360024206,17,8,295639
52,24,1,0.9902770115753495,0.004933114652640419,0.06916611141546229,0.0006791040950388108,16,12,78044
26,18,1,0.9969997491482626,0.022792169634893132,0.1233209974410794,0.00037110723964547845,15,13,97007
40,17,1,0.9778216430819535,0.005422765788984605,0.037615412445666685,0.000853169905845189,22,12,223871
32,31,1,0.9922368274586101,0.024181499423601014,0.08278709052665689,0.0006477187345607415,14,12,115791
50,18,1,0.9629331158664165,0.0009284926724550823,0.01600310687861284,0.0006160191769173142,15,13,224019
50,8,1,0.9924875487528594,0.0070212854348473686,0.08141644392794414,0.0006162666703169781,16,12,144418
67,35,1,0.7470459485906085,0.0046120846208145445,0.011698110620699002,0.003961047415796147,16,11,145921
28,26,1,0.9894651519662376,0.006886403764895113,0.1437316067852467,0.0015303119477544697,14,8,33980
38,9,1,0.9782388082329024,0.006239997847996881,0.03889240038018745,0.0008651721154191077,14,9,223077
36,3,1,0.9913282550944834,0.0054147822309132294,0.05807570781759795,0.0005080230468362527,12,13,80705
47,18,1,0.9758020946572301,0.011149121570887282,0.0748217051633171,0.0018554258780674225,16,11,120727
100,1,1,0.8124999576822939,0.002970332461449976,0.005582793542002364,0.001288336971231315,15,10,27943
23,8,1,0.7502623216131971,0.004836141308739233,0.014056264372961593,0.004678868420650152,17,0,50867
60,11,1,0.890728474854904,0.004940128890103465,0.04101526763697013,0.005031612758438714,1,1,98378
43,27,1,0.632978689735176,0.0,0.004576923075162722,0.0026538461528254438,17,9,26000
42,6,1,0.9477395740817687,0.0073364089268438334,0.04589081664389225,0.0025305196581207738,17,2,17158531
